敵ID,名前,攻撃力,HP,速さ,タイプ,ドロップ,備考,
0,EnemyFatRaw,10,10,遅い,マッチョにさせる,30％で太るアイテムを出す,おん,O
1,EnemyFatMiddle,15,15,遅い,マッチョにさせる,30％で太るアイテムを出す,と,O
2,EnemyFatHigh,20,20,普通,マッチョにさせる,30％で太るアイテムを出す,おん,O
3,EnemySkinnyRaw,5,5,遅い,痩せさせる,無し,おん,O
4,EnemySkinnyMiddle,8,5,普通,痩せさせる,無し,と,O
5,EnemySkinnyHigh,10,8,早い,痩せさせる,無し,と,O
6,EnemyUnderBoss,50,15,遅い,マッチョにさせる,武器泥,と,O
7,EnemyBoss,200,28,普通,おマッチョにもお痩せなられる特殊大切ですわー,無し,おん,O
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
敵の名前の付け方は、「Enemy + 敵ID」でお願いします,,,,,,,,
,Enemy０,,,,,,,
